Disease,Symptoms,Medical Tests,Cost (?)
Tuberous Sclerosis,"""Facial rash like acne (adenoma sebaceum)"", ""Seizures in infancy"", ""White patches on skin"", ""Developmental delay""","Genetic testing, CT/MRI","5,000-20,000"
Ulcerative Colitis,"""Bloody diarrhea with mucus"", ""Urgent bowel movements"", ""Left-sided abdominal cramps"", ""Weight loss despite eating""","Colonoscopy, Calprotectin","4,000-15,000"
Uveitis,"""Red painful eye with blurred vision"", ""Sensitivity to light"", ""Floaters in vision"", ""Associated with back pain""","Slit lamp exam, HLA-B27","1,000-5,000"
Varicocele,"""Dragging pain in scrotum"", ""Bag of worms feeling when standing"", ""Left testicle hangs lower"", ""May cause infertility""",Scrotal ultrasound,"800-3,500"
Vasculitis,"""Purple spots on legs (palpable purpura)"", ""Numbness in hands/feet"", ""Blood in urine"", ""Fever with weight loss""","ANCA test, Biopsy","2,500-9,000"
Vitiligo,"""Milky white skin patches spreading slowly"", ""More noticeable in summer"", ""Often symmetrical"", ""Hair turns white in patches""",Wood's lamp exam,"500-2,000"
Von Willebrand Disease,"""Prolonged bleeding from small cuts"", ""Frequent nosebleeds"", ""Heavy periods"", ""Family history of bleeding""",Von Willebrand factor assay,"2,000-7,000"
Waldenstrom Macroglobulinemia,"""Bleeding from nose/gums"", ""Blurred vision from thick blood"", ""Night sweats"", ""Enlarged lymph nodes""",Serum protein electrophoresis,"3,000-12,000"
Wegener's Granulomatosis,"""Bloody nose crusts for months"", ""Coughing up blood"", ""Kidney failure symptoms"", ""Joint pains""","c-ANCA, Biopsy","3,500-14,000"
Wilson's Disease,"""Golden-brown eye rings (Kayser-Fleischer)"", ""Tremors worsening with stress"", ""Sudden personality changes"", ""Jaundice""","Serum ceruloplasmin, 24hr urine copper","2,500-9,000"
Zollinger-Ellison Syndrome,"""Severe heartburn not relieved by meds"", ""Watery diarrhea"", ""Multiple stomach ulcers"", ""Weight loss""","Gastrin levels, Endoscopic ultrasound","5,000-18,000"
Agoraphobia,"""Panic in crowded places"", ""Fear of leaving home"", ""Reliant on companion"", ""Avoids public transport""",Psychiatric evaluation,"1,200/session"
Albinism,"""Very light skin/hair since birth"", ""Nystagmus (dancing eyes)"", ""Sunburn easily"", ""Vision problems""",Genetic testing,"3,000-15,000"
Amyloidosis,"""Swollen tongue with teeth marks"", ""Easy bruising around eyes"", ""Numbness in feet"", ""Shortness of breath""",Biopsy with Congo red stain,"4,000-20,000"
Angioedema,"""Sudden lip/eye swelling"", ""No itching unlike hives"", ""May affect throat causing stridor"", ""Family history""",C1 esterase inhibitor test,"1,500-6,000"
Asperger Syndrome,"""Social awkwardness"", ""Obsessive interests"", ""Literal understanding"", ""Clumsiness""",Neuropsychological testing,"2,000-8,000"
Ataxia Telangiectasia,"""Wobbly gait in toddler"", ""Red spider veins in eyes"", ""Frequent lung infections"", ""Delayed puberty""","AFP levels, Genetic test","5,000-25,000"
Bartonellosis,"""Fever after cat scratch"", ""Swollen lymph nodes"", ""Stretch mark-like rashes"", ""Eye infection""","PCR, Serology","1,500-5,500"
Brugada Syndrome,"""Fainting spells at night"", ""Family history of sudden death"", ""Irregular heartbeat"", ""No symptoms in some""",ECG with Brugada pattern,"2,500-10,000"
Carcinoid Syndrome,"""Flushing after alcohol/food"", ""Diarrhea with abdominal cramps"", ""Wheezing"", ""Heart valve problems""",24hr urine 5-HIAA,"3,000-12,000"
Charcot Foot,"""Painless foot swelling in diabetics"", ""Red hot foot"", ""Bone deformities"", ""Loss of sensation""",X-ray/MRI foot,"2,000-9,000"
CREST Syndrome,"""Tight shiny skin on hands"", ""Red spots on face/hands"", ""Difficulty swallowing"", ""White fingertips in cold""","ANA, Centromere antibodies","2,500-8,000"
Cyclic Vomiting Syndrome,"""Recurrent vomiting episodes"", ""Pale and lethargic during attack"", ""Pain in upper abdomen"", ""Family history of migraines""",Clinical diagnosis,"1,000-5,000"
Dercum's Disease,"""Painful fatty lumps under skin"", ""Easy bruising"", ""Memory problems"", ""Weight gain despite diet""",Clinical diagnosis,"1,500-6,000"
Dermatomyositis,"""Purple rash on eyelids (heliotrope)"", ""Weakness in shoulders/hips"", ""Red bumps over knuckles"", ""Sun sensitivity""","Muscle enzymes, EMG","3,000-12,000"
Ehlers-Danlos Syndrome,"""Very flexible joints"", ""Stretchy skin"", ""Easy bruising"", ""Poor wound healing""",Genetic testing,"5,000-25,000"
Fabry Disease,"""Burning pain in hands/feet"", ""Reddish-purple skin rash"", ""Reduced sweating"", ""Kidney/heart problems""",Alpha-galactosidase test,"8,000-30,000"
Familial Mediterranean Fever,"""Recurrent fever episodes"", ""Severe abdominal pain"", ""Swollen ankles"", ""Chest pain with breathing""",Genetic testing,"4,000-15,000"
Gaucher Disease,"""Enlarged spleen causing belly protrusion"", ""Easy bleeding"", ""Bone pain/crises"", ""Yellowish skin""",Beta-glucosidase test,"10,000-50,000"
Goodpasture Syndrome,"""Coughing up blood"", ""Blood in urine"", ""Shortness of breath"", ""Fatigue""","Anti-GBM antibodies, Kidney biopsy","5,000-20,000"
Guillain-Barr� Syndrome,"""Tingling starts in feet ascending upwards"", ""Rapid muscle weakness"", ""Difficulty breathing"", ""Recent infection/vaccine""","Nerve conduction study, LP",Emergency care
Huntington's Disease,"""Jerky involuntary movements"", ""Personality changes"", ""Dementia in 40s-50s"", ""Family history""",Genetic testing,"7,000-25,000"
Kawasaki Disease,"""High fever >5 days in child"", ""Strawberry tongue"", ""Red cracked lips"", ""Swollen hands/feet""","Echocardiogram, Clinical criteria","3,000-12,000"
Klinefelter Syndrome,"""Tall with long limbs"", ""Small testes"", ""Gynecomastia"", ""Infertility""",Karyotyping,"3,500-12,000"
Leptospirosis,"""High fever after flood/rat exposure"", ""Severe calf muscle pain"", ""Red eyes without discharge"", ""Jaundice""","MAT, PCR","1,500-6,000"
Lupus Nephritis,"""Facial rash worse with sun"", ""Foamy urine"", ""Swollen legs"", ""Joint pains with fatigue""","ANA, dsDNA, Kidney biopsy","3,000-15,000"
Lymphangioleiomyomatosis,"""Shortness of breath worsening"", ""Collapsed lung episodes"", ""Coughing up blood"", ""Only in women""","CT chest, VEGF-D","5,000-20,000"
Marfan Syndrome,"""Tall thin build"", ""Long spider-like fingers"", ""Chest sinks in or sticks out"", ""Lens dislocation in eye""","FBN1 genetic test, Echo","5,000-25,000"
Mastocytosis,"""Itchy red spots that swell when rubbed"", ""Flushing with dizziness"", ""Diarrhea after triggers"", ""Bone pain""","Serum tryptase, Bone marrow biopsy","2,500-10,000"
Nephrotic Syndrome,"""Puffy eyes in morning"", ""Frothy urine"", ""Swollen ankles worsening through day"", ""Weight gain from fluid""","Urine protein, Serum albumin","1,200-5,000"
Osgood-Schlatter Disease,"""Painful bump below knee in teens"", ""Worse with running/jumping"", ""Tenderness over tibial tuberosity"", ""Active in sports""",X-ray knee,"600-2,500"
Pemphigus Vulgaris,"""Painful mouth ulcers first"", ""Fragile skin blistering easily"", ""Raw areas where skin peels"", ""Nikolsky sign positive""",Skin biopsy with IF,"2,500-9,000"
Porphyria,"""Severe abdominal pain"", ""Dark red urine"", ""Sun exposure causes blisters"", ""Mental changes""","Urine PBG, Genetic testing","3,000-15,000"
Pulmonary Hypertension,"""Shortness of breath progressing"", ""Fatigue with minimal activity"", ""Swollen ankles"", ""Fainting spells""","Echocardiogram, RHC","4,000-20,000"
Rett Syndrome,"""Loss of speech/hand skills in toddler"", ""Hand-wringing movements"", ""Breathing abnormalities"", ""Only in girls""",MECP2 genetic test,"8,000-30,000"
Sarcoidosis,"""Dry cough lasting months"", ""Red tender shin bumps"", ""Blurred vision"", ""Swollen lymph nodes""","Chest X-ray, ACE levels","2,500-10,000"
Sturge-Weber Syndrome,"""Port-wine stain on face"", ""Seizures starting in infancy"", ""Glaucoma in affected eye"", ""Developmental delay""","MRI brain, Clinical diagnosis","5,000-20,000"
Acromegaly,"""Enlarging hands/feet needing bigger rings/shoes"", ""Protruding jaw"", ""Deepening voice"", ""Snoring from enlarged tongue""","Growth hormone levels, MRI pituitary","4,000-18,000"
Actinic Cheilitis,"""Persistent dry/cracked lips"", ""White patches on lower lip"", ""Worsens with sun exposure"", ""Common in outdoor workers""","Clinical exam, Biopsy if needed","800-3,500"
Addisonian Crisis,"""Extreme weakness with confusion"", ""Severe vomiting/diarrhea"", ""Darkening skin creases"", ""Low BP requiring IV fluids""","Cortisol level, ACTH stimulation",Emergency care
Alport Syndrome,"""Blood in urine since childhood"", ""Hearing loss in teens"", ""Eye abnormalities"", ""Family history of kidney failure""","Genetic testing, Kidney biopsy","5,000-25,000"
Anthrax,"""Painless ulcer with black center"", ""Swollen lymph nodes"", ""Sudden high fever"", ""History of handling animal hides""","Culture, PCR",Government labs
Aortic Dissection,"""Tearing chest pain radiating to back"", ""Unequal arm BP readings"", ""Sudden collapse"", ""Marfan syndrome features""",CT angiography,Emergency care
Aspergillosis,"""Coughing up brownish plugs"", ""Wheezing unresponsive to inhalers"", ""Fever in immunocompromised"", ""Cavities on lung imaging""","Galactomannan test, Culture","2,500-12,000"
Babesiosis,"""Fever after tick bite"", ""Tea-colored urine"", ""Severe anemia"", ""Splenomegaly""","Blood smear, PCR","1,800-7,000"
Behcet's Disease,"""Mouth ulcers lasting >1 week"", ""Genital ulcers leaving scars"", ""Eye redness/pain"", ""Skin pathergy reaction""","Clinical criteria, HLA-B51","2,500-9,000"
Black Hairy Tongue,"""Black furry tongue coating"", ""Metallic taste"", ""Bad breath"", ""Occurs after antibiotics""",Clinical diagnosis,200-800
Boutonneuse Fever,"""Black spot at tick bite"", ""Fever with rash on palms/soles"", ""Common in monsoon"", ""Muscle aches""",Serology,"1,200-4,500"
Brown-Sequard Syndrome,"""Weakness on one side"", ""Loss of touch sensation on opposite side"", ""Occurs after spinal injury"", ""Retains bowel/bladder control""",MRI spine,"5,000-20,000"
Brucellosis,"""Undulant fever (rising/falling)"", ""Severe night sweats"", ""Joint pains in hips/knees"", ""Handles raw meat/dairy""","Blood culture, Serology","1,500-5,500"
Cat Scratch Disease,"""Fever after kitten scratch"", ""Swollen tender lymph nodes"", ""Pimple at scratch site"", ""Fatigue lasting months""","PCR, Serology","1,200-4,500"
Cavernous Sinus Thrombosis,"""Fever with eye swelling"", ""Double vision"", ""Severe headache"", ""Recent face infection""",MRI brain with venography,Emergency care
Chagas Disease,"""Swelling at bug bite (chagoma)"", ""Roma�a's sign (swollen eyelid)"", ""Heart failure years later"", ""Lived in mud houses""","Blood smear, Serology","2,000-8,000"
Cholera,"""Rice-water diarrhea"", ""Severe dehydration within hours"", ""Muscle cramps"", ""Recent seafood/festival attendance""",Stool culture,Government reporting
Creutzfeldt-Jakob Disease,"""Rapid dementia with jerky movements"", ""Visual hallucinations"", ""Startle myoclonus"", ""No fever/infection""","MRI brain, EEG","8,000-30,000"
Croup,"""Barking cough in child"", ""Stridor when crying"", ""Worse at night"", ""Recent cold symptoms""",Clinical diagnosis,"300-1,200"
Cysticercosis,"""Seizures in adult with no history"", ""Visible lumps under skin"", ""Eye floaters"", ""Eats undercooked pork""","CT/MRI brain, Serology","3,000-15,000"
Dermatitis Herpetiformis,"""Itchy blisters on elbows/knees"", ""Burning rash"", ""Improves with gluten-free diet"", ""Associated with celiac""","Skin biopsy, IgA testing","1,500-6,000"
Diphtheria,"""Sore throat with gray membrane"", ""Bull neck appearance"", ""Difficulty breathing"", ""Unvaccinated child""",Throat swab culture,Government reporting
Dracunculiasis,"""Painful blister on foot/leg"", ""Emerging worm when immersed in water"", ""Common in remote villages"", ""From drinking pond water""",Clinical diagnosis,Community health
Ebola Virus,"""Sudden high fever with bleeding"", ""Red eyes without discharge"", ""Hiccups in late stage"", ""Recent travel to Africa""",PCR testing,Government protocol
Echinococcosis,"""Liver cyst found incidentally"", ""Coughing up cyst material"", ""Rupture causes allergic shock"", ""Sheep/dog contact""","USG abdomen, Serology","2,500-10,000"
Ehlers-Danlos (Vascular Type),"""Thin translucent skin"", ""Easy bruising"", ""Ruptured arteries/organs"", ""Characteristic facial features""",Genetic testing (COL3A1),"8,000-35,000"
Elephantiasis,"""Massive leg swelling with thick skin"", ""Recurrent fever episodes"", ""Common in coastal areas"", ""Mosquito exposure history""","Night blood smear, Antigen test","1,200-5,000"
Encephalitis,"""Fever with altered behavior"", ""Seizures in adult"", ""Stiff neck"", ""Recent mosquito bites/viral illness""","CSF analysis, MRI brain",Emergency care
Epidermolysis Bullosa,"""Blistering skin with minor trauma"", ""Missing nails"", ""Difficulty swallowing"", ""Present since birth""","Skin biopsy, Genetic testing","5,000-25,000"
Erythema Infectiosum,"""Slapped cheek rash in child"", ""Lacy rash on limbs"", ""Mild fever"", ""Outbreaks in schools""",Clinical diagnosis,200-800
Fabry Disease,"""Burning hand/feet pain"", ""Reddish skin rash (angiokeratomas)"", ""No sweating"", ""Kidney/heart problems in 30s""",Alpha-galactosidase test,"10,000-40,000"
Familial Hypercholesterolemia,"""Yellowish patches around eyes (xanthelasma)"", ""Cholesterol deposits on tendons"", ""Heart attacks in 30s-40s"", ""Family history""","LDL-C levels, Genetic testing","2,500-12,000"
Farmer's Lung,"""Cough/fever after handling moldy hay"", ""Crackles on lung exam"", ""Improves when away from farm"", ""Chronic breathlessness""","Chest X-ray, Precipitins","1,500-6,000"
Fascioliasis,"""Right upper belly pain"", ""Fever with eosinophilia"", ""Eats raw watercress"", ""Liver cysts on imaging""","Stool exam, Serology","1,800-7,000"
Favism,"""Dark urine after eating fava beans"", ""Jaundice"", ""Severe anemia"", ""Common in certain communities""",G6PD enzyme test,"500-2,500"
Filariasis,"""Recurrent fever with lymph node swelling"", ""Milky urine (chyluria)"", ""Swollen scrotum (hydrocele)"", ""Mosquito endemic area""",Night blood smear,"800-3,500"
Fitz-Hugh-Curtis Syndrome,"""Right upper belly pain in young women"", ""Pain with breathing"", ""History of STD"", ""Adhesions on laparoscopy""",PCR for chlamydia/gonorrhea,"2,000-9,000"
Fragile X Syndrome,"""Large ears/long face"", ""Intellectual disability"", ""Autistic features"", ""Family history""",FMR1 genetic testing,"5,000-20,000"
Giant Cell Arteritis,"""New headache in elderly"", ""Scalp tenderness"", ""Jaw claudication"", ""Sudden vision loss""","Temporal artery biopsy, ESR","3,000-12,000"
Granuloma Annulare,"""Ring-shaped skin bumps"", ""No scaling/itching"", ""Common on hands/feet"", ""May indicate diabetes""","Clinical exam, Skin biopsy","800-3,500"
Hand-Foot-Mouth Disease,"""Painful mouth ulcers"", ""Blisters on palms/soles"", ""Mild fever in children"", ""Outbreaks in daycare""",Clinical diagnosis,200-800
Hartnup Disease,"""Red scaly rash in sun-exposed areas"", ""Episodes of unsteadiness"", ""Improves with high-protein diet"", ""Family history""",Urine amino acids,"1,500-6,000"
Hemochromatosis,"""Bronze skin pigmentation"", ""Joint pains in knuckles"", ""Diabetes/liver disease"", ""Family history""","Serum ferritin, Genetic test","1,800-7,000"
Henoch-Sch�nlein Purpura,"""Purple spots on legs/buttocks"", ""Abdominal pain"", ""Blood in urine"", ""Follows URI in child""","Clinical diagnosis, Urinalysis","800-3,500"
Hereditary Angioedema,"""Recurrent face/throat swelling"", ""No response to antihistamines"", ""Abdominal pain episodes"", ""Family history""",C1 esterase inhibitor,"3,000-15,000"
Histoplasmosis,"""Fever after cave/bird exposure"", ""Chest pain"", ""Ulcers in mouth"", ""Cavities on chest X-ray""","Urine antigen, Culture","2,000-9,000"
Hookworm Infection,"""Itchy feet after walking barefoot"", ""Pale from anemia"", ""Pica (craving dirt)"", ""Common in rural areas""",Stool examination,"300-1,200"
Hydatid Disease,"""Liver cyst found incidentally"", ""Coughing up salty fluid if lung involved"", ""From dog/sheep contact"", ""Rupture causes allergy""","USG/CT, Serology","3,000-15,000"
Hyper IgE Syndrome,"""Recurrent staph abscesses"", ""Coarse facial features"", ""Retained baby teeth"", ""Fractures with minor trauma""","IgE levels, Genetic testing","5,000-25,000"
Kala-azar,"""Prolonged fever with weight loss"", ""Enlarged spleen"", ""Grayish skin discoloration"", ""Sandfly exposure""",Bone marrow/spleen aspirate,Government program
Kaposi Sarcoma,"""Purple skin patches in HIV patients"", ""Swollen legs"", ""Lesions in mouth"", ""Associated with HHV-8""","Biopsy, HIV testing","3,000-12,000"
Kartagener Syndrome,"""Chronic sinusitis since childhood"", ""Daily productive cough"", ""Organ reversal (situs inversus)"", ""Infertility in males""","Ciliary function tests, CT","4,000-18,000"
Kawasaki Disease,"""Fever >5 days in child"", ""Strawberry tongue"", ""Red cracked lips"", ""Swollen hands/feet peeling later""","Echocardiogram, Clinical criteria","3,000-12,000"
Klippel-Trenaunay Syndrome,"""Port-wine stain birthmark"", ""Overgrown limb"", ""Varicose veins since childhood"", ""Bleeding from skin lesions""","Clinical diagnosis, Doppler","5,000-20,000"
Legionnaires' Disease,"""High fever with diarrhea"", ""Confusion"", ""Dry cough"", ""Recent hotel/cruise stay""",Urine antigen test,"1,500-6,000"
Leishmaniasis (Cutaneous),"""Non-healing ulcer at sandfly bite"", ""Crater-like appearance"", ""Common on exposed areas"", ""May take months to heal""","Slit skin smear, PCR","1,200-5,000"
Leprosy,"""Numb skin patches"", ""Thickened nerves"", ""Claw hand deformity"", ""From prolonged contact""","Slit skin smear, Biopsy",Government clinics
Leptospirosis,"""High fever after flood water exposure"", ""Severe calf pain"", ""Red eyes without pus"", ""Jaundice""","MAT, PCR","1,500-6,000"
Listeriosis,"""Fever in pregnancy"", ""Stillbirth/preterm labor"", ""Meningitis in newborns"", ""Ate unpasteurized cheese""",Blood/CSF culture,Emergency care
Lyme Disease,"""Bullseye rash after tick bite"", ""Fever with joint pains"", ""Facial palsy"", ""History of hiking""",ELISA/Western blot,"1,500-6,000"
Lymphogranuloma Venereum,"""Painless genital ulcer"", ""Swollen groin nodes (buboes)"", ""Rectal pain/discharge in MSM"", ""Recent unprotected sex""",PCR for chlamydia,"1,800-7,000"
Madura Foot,"""Chronic foot swelling with sinuses"", ""Grain-like discharge"", ""Progressive deformity"", ""Barefoot farmers""","KOH mount, Culture","2,000-8,000"
Marburg Virus,"""Sudden high fever with bleeding"", ""Severe diarrhea"", ""Rash by day 5"", ""African cave exposure""",PCR testing,Government protocol
Mastocytosis,"""Itchy red spots that swell when rubbed"", ""Flushing with dizziness"", ""Diarrhea after triggers"", ""Bone pain""","Serum tryptase, Biopsy","2,500-10,000"
Melioidosis,"""Fever after monsoon floods"", ""Pneumonia with abscesses"", ""Diabetes risk factor"", ""Common in rice farmers""","Culture, Serology","2,000-9,000"
Molluscum Contagiosum,"""Pearly umbilicated bumps"", ""Common in children"", ""Spread by direct contact"", ""Self-limited""",Clinical diagnosis,200-800
Mucormycosis,"""Black nasal discharge in diabetics"", ""Facial swelling"", ""Eye protrusion"", ""Recent COVID/corticosteroids""","KOH mount, Biopsy",Emergency care
Mycoplasma Pneumonia,"""Persistent dry cough"", ""Mild fever"", ""Headache"", ""Crackles on lung exam""","Serology, PCR","1,200-5,000"
Necrotizing Fasciitis,"""Severe pain disproportionate to wound"", ""Purple skin blisters"", ""High fever"", ""Rapid progression""",Surgical exploration,Emergency care
Nocardiosis,"""Pneumonia not responding to usual antibiotics"", ""Brain abscess"", ""Skin nodules with sinus tracts"", ""Immunocompromised host""",Modified acid-fast stain,"2,500-10,000"
Osteogenesis Imperfecta,"""Multiple fractures with minimal trauma"", ""Blue sclera"", ""Hearing loss in adults"", ""Family history""",Genetic testing (COL1A1/2),"5,000-25,000"
Paragonimiasis,"""Chronic cough with blood-streaked sputum"", ""Chest pain"", ""Eats raw crabs"", ""Cavities on chest X-ray""","Sputum exam, Serology","1,500-6,000"
Pellagra,"""Photosensitive rash on neck (Casal's necklace)"", ""Diarrhea"", ""Dementia"", ""Alcoholism/malnourished""",Clinical response to niacin,"300-1,200"
Pemphigus Vulgaris,"""Painful mouth ulcers first"", ""Fragile skin peeling easily"", ""Nikolsky sign positive"", ""Middle-aged/elderly""",Skin biopsy with IF,"2,500-9,000"
Plague,"""Sudden fever with painful lymph nodes (buboes)"", ""Cough with bloody sputum (pneumonic)"", ""Flea/rat exposure"", ""Endemic areas""","Culture, PCR",Government reporting
Pneumocystis Pneumonia,"""Dry cough with progressive breathlessness"", ""Night sweats"", ""HIV-positive patient"", ""Bilateral ground-glass on CT""",Bronchoalveolar lavage,"3,000-12,000"
Poliomyelitis,"""Acute flaccid paralysis"", ""Fever preceding paralysis"", ""Asymmetric weakness"", ""Unvaccinated child""",Stool PCR,Government reporting
Porphyria Cutanea Tarda,"""Fragile skin with blisters on sun-exposed areas"", ""Dark urine"", ""Liver disease"", ""Alcoholism risk factor""",Urine porphyrins,"1,500-6,000"
Q Fever,"""High fever with severe headache"", ""Pneumonia/hepatitis"", ""Contact with sheep/goats"", ""May cause endocarditis""","Serology, PCR","1,800-7,000"
Rabies,"""Fear of water (hydrophobia)"", ""Agitation with hallucinations"", ""Paralysis progressing to coma"", ""Animal bite history""",Postmortem brain biopsy,Government protocol
Rat-Bite Fever,"""Fever after rat contact"", ""Joint pains"", ""Rash on hands/feet"", ""May mimic sepsis""","Blood culture, PCR","1,500-6,000"
Rheumatic Fever,"""Migratory joint pains after strep throat"", ""Heart murmur"", ""Involuntary movements (chorea)"", ""Subcutaneous nodules""","ASO titer, Echo","1,500-6,000"
Rocky Mountain Spotted Fever,"""Fever with rash starting on wrists/ankles"", ""History of tick bite"", ""Severe headache"", ""May cause gangrene""","Serology, Skin biopsy","1,800-7,000"
Schistosomiasis,"""Swimmer's itch progressing to fever"", ""Blood in urine (S. haematobium)"", ""Liver fibrosis (S. mansoni)"", ""Freshwater exposure""",Urine/stool microscopy,"800-3,500"
Scurvy,"""Bleeding gums with loose teeth"", ""Corkscrew hairs"", ""Poor wound healing"", ""Diet lacking fruits""",Clinical response to vitamin C,200-800
Smallpox,"""High fever with centrifugal rash (all same stage)"", ""Deep-seated vesicles"", ""Vaccination history"", ""Bioterrorism concern""",PCR,Government protocol
Strongyloidiasis,"""Abdominal pain with diarrhea"", ""Larva currens (racing rash)"", ""Cough with eosinophilia"", ""From walking barefoot""","Stool exam, Serology","800-3,500"
Syphilis (Secondary),"""Copper-colored rash on palms/soles"", ""Condyloma lata in groin"", ""Patchy hair loss"", ""History of chancre""","RPR/VDRL, TPHA","500-2,500"
Tetanus,"""Lockjaw (trismus)"", ""Risus sardonicus (grimace)"", ""Muscle spasms"", ""Unvaccinated with wound""",Clinical diagnosis,Emergency care
Toxocariasis,"""Fever with eosinophilia"", ""Eye inflammation in children"", ""Seizures from brain involvement"", ""Dog/cat exposure""","Serology, Ophthalmic exam","1,200-5,000"
Trichuriasis,"""Chronic diarrhea with blood"", ""Rectal prolapse in heavy infections"", ""Growth retardation in children"", ""From contaminated soil""",Stool examination,"300-1,200"
Tularemia,"""Ulcer at insect bite site"", ""Swollen lymph nodes"", ""Pneumonia after rabbit/hare contact"", ""High fever""","Serology, PCR","1,500-6,000"
Typhus,"""High fever with severe headache"", ""Rash starting on trunk"", ""Louse/flea exposure"", ""Outbreaks in crowded areas""","Weil-Felix, Serology","1,200-5,000"

